source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,interview_procedures,interview_invitation_timing,interview_day,regional_interviews,recorded_video_interviews,notes
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,13,10,107.154,CA,Loma Linda University School of Medicine,Loma Linda University School of Medicine,"Two separate one-on-one interviews with a combination of clinical faculty, basic sciences faculty, residents, medical students, or administrators.",EDP in July,Applicants will participate in two separate one-on- one virtual interviews for 30-40 minutes each. Opportunity to view a virtual tour of campus is provided.,no,Yes,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,14,12,573.163,CA,Stanford University School of Medicine,Stanford University School of Medicine,Hybrid MMI (Multiple Mini Interview and Traditional Interview),August,"In addition to candidate assessment, presentations include curriculum, academic programs, and community engagement opportunities. Candidates are provided the opportunity to engage with current students through coordinated social activities (virtually).",Interviews will be conducted virtually,Interviews will be conducted virtually,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,15,12,486.163,CA,"University of California, Davis, School of Medicine","University of California, Davis, School of Medicine",Multiple Mini Interviews (MMI),July,"Interviews are held on Fridays (and potential other days of the week) beginning in August and ends March/April. The interview day consist of an orientation, the multiple mini interview, and session with medical students.",Regional interviews are not available.,"Yes, all interviews for the 2027 Admissions Cycle will be on a virtual platform.",
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,16,12,416.155,CA,"University of California, Irvine, School of Medicine","University of California, Irvine, School of Medicine","Individual interviews with a faculty member and a medical student, held virtually. Applicants will also be invited to complete a standardized interview through KIRA talent.",August 1,Specific information about the interview day is provided to all applicants selected to be interviewed.,Regional interviews are not available.,All interviews are conducted virtually via zoom.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,17,12,355.146,CA,"University of California, Los Angeles David Geffen School of Medicine","University of California, Los Angeles David Geffen School of Medicine",MD - Traditional Interviews (one-on-one open file) Prime-LA - Multiple Mini- Interviews (MMI) MSTP - Traditional Interviews,August 2026,An overview of admissions interviews is available at https://medschool.ucla.edu /education/md- education/admissions/revi ew-process,Regional interviews are not available.,Interviews will be conducted virtually.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,18,12,223.146,CA,"University of California, Riverside School of Medicine","University of California, Riverside School of Medicine","Interviews will be scheduled on selected weekdays, weeknights, and weekends from September 2026 through March 2027. They will be conducted in the Multiple Mini-Interview (MMI) format.",August 2026,"Upon invitation, applicants will receive a school overview and the opportunity to interact virtually with the UCRSOM community, including faculty, staff, and students. To ensure a smooth experience, applicants will be provided with comprehensive manuals and dedicated staff support to assist with MMI experience.",Regional interviews are not available.,Interviews will be done virtually utilizing Zoom and KIRA.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,19,12,118.146,CA,"University of California, San Diego School of Medicine","University of California, San Diego School of Medicine","The 4-year M.D. program, PRIME-HEq, PRIME-TIDE, and GHAC programs utilize Multiple Mini Interviews with faculty and 4th-year medical students. The MD-Phd program utilizes both one on one and Multiple Mini Interviews.",In August of the year preceding matriculation.,"All sessions will be run via Zoom video conferencing. Students receive a orientation at 8 AM in the morning. MMI interviews occur until noon. Applicants have a 1 hour Q & A session with current medical students, and then debrief with admissions staff.",Regional interviews are not available.,"For the 2026-2027 application cycle, UCSD plans to use only remote video interviews (via Zoom)",
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,20,12,49.145,CA,"University of California, San Francisco, School of Medicine","University of California, San Francisco, School of Medicine","Consists of two double- blind interviews, each lasting 45 minutes to one hour.","September 1, 2026",https://meded.ucsf.edu/pro spective-students/md- program-admissions/md- program-application- process? anchor=step4#section3506 -4,Interviews are conducted via zoom.,Interviews are conducted via zoom.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,21,14,644.155,CO,University of Colorado School of Medicine,University of Colorado School of Medicine,"Structured interviews with group and individual interviews, virtual.",August,,Regional interviews are not available.,Yes,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,22,14,458.155,CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Frank H. Netter MD School of Medicine at Quinnipiac University,Interviews will be conducted virtually via Zoom for the 2026-2027 application cycle. Interviewees can expect to spend approximately five hours online.,August,"Interviews will be conducted virtually via Zoom for the 2026-2027 application cycle. Interviewees can expect to spend approximately five hours online including participating in 2 one-on- one interviews and meeting with admissions staff, current students, and the Associate Dean for Admissions. Prior to the interview day, interviewees will receive a collection of documents and videos that highlight numerous aspects of the Netter academics and community.",no,Yes,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,23,14,389.154,CT,University of Connecticut School of Medicine,University of Connecticut School of Medicine,One-on-one and group interview sessions,August 2026,"Interview day consists of one-on-one and group interview sessions, as well as an overview of the curriculum and financial aid, and an opportunity to ask questions.",Not available,All interviews are virtual.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,24,14,365.154,CT,Yale School of Medicine,Yale School of Medicine,one-on-one,August 2026,,Not available,All interviews are conducted online,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,25,14,305.154,DC,George Washington University School of Medicine & Health Sciences,George Washington University School of Medicine & Health Sciences,Blind interviews (interviewer does not have access to interviewee's application file).,Interviews are offered on a rolling basis and we typically interview from August through March.,Provided directly to all students who have been invited to interview.,No regional interviews offered.,Yes. All interviews will be virtual until further notice.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,26,16,402.163,DC,Georgetown University School of Medicine,Georgetown University School of Medicine,Interviews are one-on-one and conducted virtually.,mid-July,"Invited candidates must attend a virtual presentation prior to the interview. These presentations are held on Mondays from mid-August- January, except holidays. Virtual interviews are scheduled Tuesday-Friday from September through February. Applicants receive one interview, conducted virtually, by a member of the basic science faculty, clinical faculty, or a selected fourth-year medical student. Interviews last approximately 45 minutes and provide the Committee on Admissions with information on the applicant ’ s non-cognitive skills. Candidates are encouraged to discuss their unique background, motivation, interests, and goals during the interview.",,,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,27,16,351.163,DC,Howard University College of Medicine,Howard University College of Medicine,One-on-one interviews with admissions committee members.,"August 1, 2026","Interviews are typically held on Tuesdays and Wednesdays from September through April, from 8:30am to 2:30pm.",Regional interviews are not available.,"The HUCM plans to conduct virtual interviews for 26-27, however this could change.",
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,28,16,120.163,FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Charles E. Schmidt College of Medicine at Florida Atlantic University,Closed file Interview (Blinded Interviews),"Invitations are sent on a rolling basis. Starting in August, they are emailed; applicants should check their inbox regularly. If invited, applicants should promptly schedule their interviews.","Formal interview days are scheduled on Tuesdays and Thursdays (some Mondays) between August and March. Interview days begin with introductory presentations, interviews, current medical student panels, and video tours. Each applicant will have a situational-behavioral style format. A video tour of the simulation center and the teaching facilities is included. A ""What will happen next?"" presentation by the director of admissions will give applicants a timeline for when they hear back. Formal interview days begin at 9:00 am EST and end in the mid-afternoon, around 3 PM EST.",Not offered,SparkHire asynchronous interviews are used in addition to a live interview on Zoom.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,29,18,573.163,FL,Florida International University Herbert Wertheim College of Medicine,Florida International University Herbert Wertheim College of Medicine,"HWCOM uses the semi- blind interview format, in which the interviewer has access to selected information from the application. Each applicant has two separate one-on- one interviews. All interviews conducted on Zoom virtually.",August,All interviews for the 2026- 2027 cycle will be conducted virtually. For more information on the virtual interview process please visit: https://medicine.fiu.edu/ac ademics/doctor-of- medicine/admissions/appli cation-process-a- z/index.html,Regional interviews are not available.,Yes,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,30,18,476.155,FL,Florida State University College of Medicine,Florida State University College of Medicine,"Applicants will participate in 2, 50-minute, 1-on-1 interviews with members of the Admissions Committee. Admissions committee members will have access to all components of the primary and secondary applications.",Late August,"In addition to the interviews, applicants will attend Q & A sessions with current MD students, Admissions Leadership and with a senior Administrator (Dean or Associate Dean).",Regional interviews are not available.,Case by case review,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,31,18,416.155,FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,NSU MD requires candidates to participate in a Multiple-Mini Interview (MMI) format.,September 2027,Details regarding the specific logistics of the interview process will be provided once an applicant receives an offer to interview.,no,The platform for the MMIs is an on-line module.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,32,18,185.154,FL,University of Central Florida College of Medicine,University of Central Florida College of Medicine,"Two, partially closed, virtual interviews. Interviewers will not have access to academic institutions, grades, MCAT scores or letters . Interviewees will receive instructions prior to their interview date.",August 2026,"Once a student has participated in two Zoom- based interviews, they attend a mandatory three- hour virtual visit. The virtual visit will include: • Q&A with the COM Leadership • Overview of the curriculum • A student panel • Overview of the admissions committee decision process, timelines, and future communication and assistance Opportunities to tour the facilities will be available throughout the admission cycle. Dates will be provided when students are invited to interview.",Regional interviews are not available.,Interviews will be conducted via Zoom.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,33,18,116.154,FL,University of Florida College of Medicine,University of Florida College of Medicine,Two partially blind (MCAT and GPA withheld) one-on- one interviews with members of our interview committee.,July 2026,"Program consists of short presentations and sessions demonstrating the curriculum and student life in the morning, two interviews and a tour in the afternoon.",Regional interviews are not availabe.,Synchronous live interviews offered for 2027 interview cycle,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,34,20,339.163,FL,University of Miami Leonard M. Miller School of Medicine,University of Miami Leonard M. Miller School of Medicine,"Two 50-minute interviews: One open-file, experiential, one closed-file, behavioral.",August 2026,"Evaluation interviews conducted virtually by members of the Admissions Committee is an integral part of our selection process. Interviews are conducted only at the request of the Office of Admissions and are generally held on selected Mondays and Fridays between the middle of September and the end of April. The Committee gives careful consideration to many factors when evaluating candidates for admission. Some of these factors are: Academic and behavioral preparedness to study medicine Breadth of life experiences Preparedness to serve diverse populations Demonstrated interest in and experiences in direct patient care, research, and health care delivery Interpersonal skill level Source and degree of motivation Maturity",N/A,"Interviews are being conducted virtually. Beginning in November, we will offer on-site tours each month for accepted candidates.",
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,35,20,171.163,FL,USF Health Morsani College of Medicine,USF Health Morsani College of Medicine,The MCOM program offers a semi-open file interview format.,"July 24, 2026","Interview day will consist of the interview only. Thereafter, interviewees will be invited to participate in online sessions to learn more about the curriculum, meet current medical students, as well as to interact with faculty & staff. Interview opportunities are intended to help the Medical Student Selection Committee reach a decision regarding the appropriateness of USF Health MCOM ’ s program for your particular needs and goals.",All interviews are offered virtually.,Yes,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,36,22,384.163,GA,Emory University School of Medicine,Emory University School of Medicine,All 2026-27 interviews will be conducted remotely on the Zoom platform. All interview days will include both a Group Interview and a One-on-One interview.,Late August or Early September 2026,"Applicants who are selected for an interview will be notified by email. (Please be sure to keep your email address up to date in AMCAS.) The Interview Season will begin in September and end in February. The Interview Day will include a welcome session with the Dean and Associate Director of Admissions, two interviews (a group interview and a one-on-one interview), and the opportunity to speak with current medical students, faculty and Admissions staff. A meeting with a current Emory medical student is available upon request. Applicants to the MD/MPH and MD/MA in Bioethics Programs will also meet with a representative of the Rollins School of Public Health or the Emory Center for Ethics, respectively, on their Interview Day.",no,All 2026 - 27 interview days will be conducted remotely on the Zoom platform.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,37,22,207.163,GA,Medical College of Georgia at Augusta University,Medical College of Georgia at Augusta University,Multiple Mini-Interviews,Beginning in August of each application cycle.,"Each year, the Medical College of Georgia invites approximately 650 students to interview for admission into the matriculating class of 304 students. Students invited to interview will participate in a Multiple Mini-Interview (MMI) process, which allows for a consistent evaluation of all candidates. Interviews are by invitation only and are virtual. On interview day, students have the opportunity to interact with current students from both four-year campuses.",Interviews are generally held on Tuesdays and Thursdays from August through January.,,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,38,22,92.154,GA,Mercer University School of Medicine,Mercer University School of Medicine,"One 45-minute interview with two interviewers, one of whom will be a member of the Admissions Committee. There will also be a subsequent one- hour group session for with three second-year medical students following the primary interview.",The second week of July for Early Decision applicants and late-August for Regular Pool applicants.,https://medicine.mercer.ed u/admissions/doctor-of- medicine/interview- invitees/,"Introduction, interviews, and group discussions are held on Tuesdays and Thursdays from approximately 10:00 to 12:15 pm. All interviews will be virtual (on Zoom) for the 2026-2027 Admissions Cycle.",All interviews will be conducted by video (on Zoom) for the 2026-2027 Admissions Cycle.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,39,24,483.163,GA,Morehouse School of Medicine,Morehouse School of Medicine,"In person at our main campus in Atlanta, Georgia.","July 24, 2026","The interview day starts at approximately 5:00 PM. Applicants are instructed to arrive to campus no later than 9:30 AM on the day of interview for check- in. On campus parking is free for interviewees. The day's itinerary includes two faculty interviews, an overview of our curriculum, dialogue with our student ambassadors, a tour of the main campus, and a tour of our teaching hospital (Grady Hospital). Lunch is provided. At this time, travel stipends/reimbursements are not available.",Available only for applicants who permanently reside in our More in Common Alliance regions. https://www.moreinc ommonalliance.org/o ur-work/clinical- training- sites/regional- training-site-progress,Not available as of the 2025 application cycle. All interviews will be conducted in person.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,40,24,324.163,GA,University of Georgia School of Medicine,University of Georgia School of Medicine,Interviews are virtual Multiple Mini Interviews.,"August 15, 2026","You will rotate through 6 multiple mini interview (MMI) stations. You will have a total of 8 minutes in the station with 2 minutes to read the prompt and 6 minutes to provide your response. You will have 2 minutes to transition to the next station. You will automatically be moved to your next interviewer. Interviewers consist of UGA faculty, campus partners, and community partners.",All interviews are virtual.,All interviews are virtual.,
aamc_msar_interview_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/15_msar008-msar-interview-procedures.pdf,41,24,282.163,HI,"University of Hawaii, John A. Burns School of Medicine","University of Hawaii, John A. Burns School of Medicine",One-on-one format,Invitations to interview may be sent as early as August 1.,Interviews are scheduled individually.,Regional interviews are not available.,All interviews will be conducted online.,
