cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
70,Harvard Medical School,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,minor_conflict,3.94;3.9;3.9;3.98,3.9 - 3.98,0.08,520;520.48;520.48;521,520 - 521,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Harvard Medical School,published school average GPA and MCAT,3.94,520,https://hms.harvard.edu/departments/admissions,,Harvard Medical School,published school average GPA and MCAT,3.9,520.48,,,Harvard Medical School,published school average GPA and MCAT,3.9,520.48,,,Harvard Medical School,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.98,521,https://cycletrack.org/explorer/school/Harvard,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
71,Hofstra Northwell School of Medicine,prospectivedoctor;shemmassian,2,minor_conflict,3.84;3.92,3.84 - 3.92,0.08,518;518,518 - 518,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Hofstra Northwell School of Medicine,published school average GPA and MCAT,3.84,518,http://medicine.hofstra.edu/admission/md/index.html,,Hofstra Northwell School of Medicine,published school average GPA and MCAT,3.92,518,,,,,,,,,,,,,,
74,Howard University College of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.42;3.75;3.61;3.76;3.76,3.42 - 3.76,0.34,505;512;507;512;512,505 - 512,7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Howard University College of Medicine; Drexel University College of Medicine,published school average GPA and MCAT,3.42; 3.75,505; 512,https://medicine.howard.edu/admissions; http://drexel.edu/medicine/academics/md-program/md-program-admissions/,,Howard University College of Medicine; Drexel University College of Medicine,published school average GPA and MCAT,3.61; 3.76,507; 512,,,Drexel University College of Medicine,published school average GPA and MCAT,3.76,512,,,,,,,,
75,Icahn School of Medicine at Mount Sinai,prospectivedoctor;shemmassian,2,minor_conflict,3.87;3.81,3.81 - 3.87,0.06,519;519,519 - 519,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Icahn School of Medicine at Mount Sinai,published school average GPA and MCAT,3.87,519,http://icahn.mssm.edu/education/medical/admissions,,Icahn School of Medicine at Mount Sinai,published school average GPA and MCAT,3.81,519,,,,,,,,,,,,,,
76,Idaho College of Osteopathic Medicine,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.56;3.5;3.73;3.73;3.77;3.65;3.9;3.71,3.5 - 3.9,0.4,503.65;504;509;511;511;503.5;512;506,503.5 - 512,8.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Idaho College of Osteopathic Medicine; Noorda College of Osteopathic Medicine,published school average GPA and MCAT,3.56; 3.5,503.65; 504,,,,,,,,,Idaho College of Osteopathic Medicine; Illinois College of Osteopathic Medicine; Arizona College of Osteopathic Medicine; Noorda College of Osteopathic Medicine; Texas College of Osteopathic Medicine; Orlando College of Osteopathic Medicine,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.73; 3.77; 3.65; 3.9; 3.71,509; 511; 503.5; 512; 506,https://cycletrack.org/explorer/school/Idaho COM; https://cycletrack.org/explorer/school/Illinois COM; https://cycletrack.org/explorer/school/Midwestern - Arizona; https://cycletrack.org/explorer/school/Noorda; https://cycletrack.org/explorer/school/North Texas; https://cycletrack.org/explorer/school/Orlando COM,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
86,Lake Erie College of Osteopathic Medicine,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.41;3.79,3.41 - 3.79,0.38,503;509,503 - 509,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Lake Erie College of Osteopathic Medicine,published school average GPA and MCAT,3.41,503,,,,,,,,,Lake Erie College of Osteopathic Medicine (Erie),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.79,509,https://cycletrack.org/explorer/school/Lake Erie,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
87,Lake Erie College of Osteopathic Medicine Bradenton Campus,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.71;3.87,3.71 - 3.87,0.16,502;509,502 - 509,7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Lake Erie College of Osteopathic Medicine Bradenton Campus,published school average GPA and MCAT,3.71,502,,,,,,,,,Lake Erie College of Osteopathic Medicine (Bradenton),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.87,509,https://cycletrack.org/explorer/school/Lake Erie - Bradenton,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
92,Loma Linda University School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.86;3.89;3.76;3.63;3.95;3.86;3.91;3.89;3.94;3.85;3.94;3.85;3.7;3.92;3.78;3.9;3.9;3.5;3.85;3.94;3.8;3.9;3.7;3.78,3.5 - 3.95,0.45,510;519;513;511;521;513;514;519;521;509;518;512;510;521;511;514;519;508;512;520;509;514;510,508 - 521,13,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Loma Linda University School of Medicine; Stanford University School of Medicine; Indiana University School of Medicine; Tulane University School of Medicine; Johns Hopkins University School of Medicine; Wayne State University School of Medicine; Saint Louis University School of Medicine; Duke University School of Medicine; Vanderbilt University School of Medicine,published school average GPA and MCAT,3.86; 3.89; 3.76; 3.63; 3.95; 3.91; 3.94,510; 519; 513; 511; 521; 514,http://medicine.llu.edu/admissions; http://med.stanford.edu/md-admissions.html; https://medicine.iu.edu/education/md/admissions/; http://www2.tulane.edu/som/admissions/index.cfm; http://www.hopkinsmedicine.org/som/admissions/md/; http://admissions.med.wayne.edu/; http://www.slu.edu/medicine/admissions; https://medschool.duke.edu/education/student-services/office-admissions; https://medschool.vanderbilt.edu/md-admissions/,,Loma Linda University School of Medicine; Stanford University School of Medicine; Indiana University School of Medicine; Tulane University School of Medicine; Johns Hopkins University School of Medicine; Wayne State University School of Medicine; Saint Louis University School of Medicine; Duke University School of Medicine; Vanderbilt University School of Medicine,published school average GPA and MCAT,3.85; 3.94; 3.7; 3.92; 3.78; 3.9; 3.5,509; 518; 512; 510; 521; 511; 514; 519; 508,,source row carried an asterisk,Indiana University School of Medicine; Johns Hopkins University School of Medicine; Loma Linda University School of Medicine; Saint Louis University School of Medicine; Stanford University School of Medicine; Tulane University School of Medicine; Wayne State University School of Medicine,published school average GPA and MCAT,3.85; 3.94; 3.8; 3.9; 3.7; 3.78,512; 520; 509; 514; 510,,,,,,,,
95,Louisiana State University - New Orleans School of Medicine,prospectivedoctor;shemmassian,2,major_conflict,3.82;3.77;3.76;3.8,3.76 - 3.82,0.06,509;506;509;508,506 - 509,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Louisiana State University-New Orleans School of Medicine; Louisiana State University-Shreveport School of Medicine,published school average GPA and MCAT,3.82; 3.77,509; 506,http://www.medschool.lsuhsc.edu/admissions/; https://www.lsuhs.edu/our-schools/school-of-medicine,,Louisiana State University - New Orleans School of Medicine; Louisiana State University - Shreveport School of Medicine,published school average GPA and MCAT,3.76; 3.8,509; 508,,source row carried an asterisk,,,,,,,,,,,,
98,Loyola University of Chicago Stritch School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.76;3.93;3.8;3.91;3.8,3.76 - 3.93,0.17,512;521;512;521;512,512 - 521,9,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Loyola University of Chicago Stritch School of Medicine; University of Chicago Pritzker School of Medicine,published school average GPA and MCAT,3.76; 3.93,512; 521,http://ssom.luc.edu/admission/; http://pritzker.uchicago.edu/page/admissions,,Loyola University of Chicago Stritch School of Medicine; University of Chicago Pritzker School of Medicine,published school average GPA and MCAT,3.8; 3.91,512; 521,,,Loyola University Chicago Stritch School of Medicine,published school average GPA and MCAT,3.8,512,,,,,,,,
101,Marshall University Joan C. Edwards School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.7;3.81;3.81,3.7 - 3.81,0.11,502;506;506,502 - 506,4,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Marshall University Joan C. Edwards School of Medicine,published school average GPA and MCAT,3.7,502,http://jcesom.marshall.edu/admissions/,,Marshall University Joan C. Edwards School of Medicine,published school average GPA and MCAT,3.81,506,,source row carried an asterisk,Marshall University Joan C. Edwards School of Medicine,published school average GPA and MCAT,3.81,506,,,,,,,,
108,Medical College of Wisconsin,cycletrack_acceptance_median;prospectivedoctor;shemmassian,3,major_conflict,3.73;3.7;3.86,3.7 - 3.86,0.16,511;508;514,508 - 514,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Medical College of Wisconsin,published school average GPA and MCAT,3.73,511,http://www.mcw.edu/Medical-School/Admissions.htm,,Medical College of Wisconsin,published school average GPA and MCAT,3.7,508,,,,,,,,,Medical College of Wisconsin,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.86,514,https://cycletrack.org/explorer/school/Medical College of Wisconsin,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
109,Medical University of South Carolina College of Medicine,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.83;3.85;3.7;3.85,3.7 - 3.85,0.15,517;511.2;511;517,511 - 517,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Medical University of South Carolina College of Medicine,published school average GPA and MCAT,3.83,517,http://academicdepartments.musc.edu/com/education/admissions/,,Medical University of South Carolina College of Medicine,published school average GPA and MCAT,3.85,511.2,,source row carried an asterisk,Medical University of South Carolina College of Medicine,published school average GPA and MCAT,3.7,511,,,Medical University of South Carolina,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.85,517,https://cycletrack.org/explorer/school/Medical University of South Carolina,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
111,Meharry Medical College School of Medicine,prospectivedoctor;shemmassian,2,minor_conflict,3.52;3.46,3.46 - 3.52,0.06,503;503,503 - 503,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Meharry Medical College School of Medicine,published school average GPA and MCAT,3.52,503,http://www.mmc.edu/prospectivestudents/admissions/school-of-medicine/index.html,,Meharry Medical College School of Medicine,published school average GPA and MCAT,3.46,503,,,,,,,,,,,,,,
116,Michigan State University College of Human Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.76;3.7;3,3 - 3.76,0.76,509;507,507 - 509,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Michigan State University College of Human Medicine,published school average GPA and MCAT,3.76,509,http://mdadmissions.msu.edu/ApplicationProcess/future/default2.htm,,Michigan State University College of Human Medicine,published school average GPA and MCAT,3.7,507,,source row carried an asterisk,Michigan State University College of Human Medicine,published school average GPA and MCAT,3,,,,,,,,,
119,Morehouse School of Medicine,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.63;3.64;3.64;3.78,3.63 - 3.78,0.15,504;504.1;505.6;511.5,504 - 511.5,7.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Morehouse School of Medicine,published school average GPA and MCAT,3.63,504,http://www.msm.edu/Admissions/doctorofmedicine.php,,Morehouse School of Medicine,published school average GPA and MCAT,3.64,504.1,,,Morehouse School of Medicine,published school average GPA and MCAT,3.64,505.6,,,Morehouse School of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.78,511.5,https://cycletrack.org/explorer/school/Morehouse,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
123,New York Medical College,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.72;3.6;3.73;3.9,3.6 - 3.9,0.3,513;516;515;518,513 - 518,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,New York Medical College,published school average GPA and MCAT,3.72,513,http://www.nymc.edu/future-students/admission-offices/,,New York Medical College,published school average GPA and MCAT,3.6,516,,,New York Medical College,published school average GPA and MCAT,3.73,515,,,New York Medical College,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,518,https://cycletrack.org/explorer/school/New York Medical College,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
